id,publication_year,cited_by_count,author_ids
https://openalex.org/W4365999004,2023,26,"['A5040820784', 'A5051322312', 'A5019512764', 'A5057624211', 'A5046881273', 'A5102962995', 'A5032530421']"
https://openalex.org/W2014824736,2004,169,"['A5019012827', 'A5034869269', 'A5086248289', 'A5059645286', 'A5053185418']"
https://openalex.org/W2023099619,1985,149,"['A5059645286', 'A5010556700']"
https://openalex.org/W2109261786,2001,147,['A5059645286']
https://openalex.org/W2117581560,1993,135,"['A5059645286', 'A5056091804', 'A5106234642']"
https://openalex.org/W2011999818,2001,132,"['A5019012827', 'A5053433013', 'A5091626620', 'A5059645286']"
https://openalex.org/W2024492508,2008,112,"['A5005446898', 'A5059645286', 'A5006024585']"
https://openalex.org/W2118846366,2013,96,"['A5032500066', 'A5059645286', 'A5055484688', 'A5090631705']"
https://openalex.org/W1564142214,2012,94,"['A5011452937', 'A5063166187', 'A5064827570']"
https://openalex.org/W1978372134,2014,91,"['A5002735772', 'A5070078178', 'A5063166187', 'A5034778389']"
https://openalex.org/W2091717417,2013,88,"['A5002735772', 'A5063166187', 'A5070078178']"
https://openalex.org/W2179576685,2015,77,"['A5024445264', 'A5090631705', 'A5082048229', 'A5029566645', 'A5084304675', 'A5059645286']"
https://openalex.org/W2505207162,2016,76,"['A5050884723', 'A5069939742', 'A5039753258', 'A5081093597', 'A5045573429', 'A5037313918', 'A5048394730', 'A5002219113']"
https://openalex.org/W1983621359,2013,74,"['A5076107680', 'A5052720011', 'A5058534097', 'A5059645286']"
https://openalex.org/W2040873422,2015,74,"['A5076107680', 'A5052720011', 'A5012989554', 'A5028696190', 'A5090631705', 'A5059645286']"
https://openalex.org/W2528234278,2016,74,['A5064171835']
https://openalex.org/W2279145160,2016,71,"['A5024445264', 'A5082048229', 'A5090631705', 'A5029566645', 'A5071132422', 'A5084304675', 'A5059645286']"
https://openalex.org/W2344797598,2016,71,"['A5046292035', 'A5061227329', 'A5084102683', 'A5046482252', 'A5036261859', 'A5103342834', 'A5059645286', 'A5021398510']"
https://openalex.org/W2934922325,2019,68,"['A5083476756', 'A5026873916', 'A5051870388', 'A5012914007', 'A5059645286', 'A5090631705']"
https://openalex.org/W3011541328,2020,66,"['A5029733822', 'A5005635678', 'A5090631705', 'A5085681303', 'A5059645286', 'A5082230764', 'A5019750784', 'A5054715875', 'A5000465145']"
https://openalex.org/W2964522467,2019,63,"['A5101689796', 'A5087711642', 'A5076973801', 'A5064171835']"
https://openalex.org/W2971080477,2019,61,"['A5057284688', 'A5017602735', 'A5036437044', 'A5051860483', 'A5090631705', 'A5052720011', 'A5059645286', 'A5058534097']"
https://openalex.org/W2938378145,2019,60,"['A5064171835', 'A5019110555']"
https://openalex.org/W3031631137,2020,59,"['A5040820784', 'A5074522618', 'A5032530421']"
https://openalex.org/W3088401329,2020,59,"['A5075527094', 'A5082803450']"
https://openalex.org/W4200073263,2021,46,"['A5060367474', 'A5059645286', 'A5019554383']"
https://openalex.org/W4225163363,2022,32,"['A5040820784', 'A5051322312', 'A5100454620', 'A5030788989', 'A5057624211', 'A5046881273', 'A5112283852', 'A5032530421']"
https://openalex.org/W4280508350,2022,31,"['A5066924384', 'A5078257556', 'A5063065481', 'A5054574752', 'A5088778411', 'A5067534857', 'A5027112658']"
https://openalex.org/W4210790758,2022,29,"['A5052720011', 'A5058534097', 'A5031683586', 'A5017602735', 'A5059645286', 'A5006758334']"
https://openalex.org/W4366004207,2023,18,"['A5036281766', 'A5018504015', 'A5075915146', 'A5045528962', 'A5069939742']"
https://openalex.org/W4366003190,2023,16,"['A5057624211', 'A5040820784', 'A5019512764', 'A5051322312', 'A5037821383', 'A5102962995', 'A5032530421', 'A5046881273']"
